index,latency_s,arrival_time,sent_gps_time,payload
0,2,1771549064,1771549062,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.260542,""longitude"":-123.250367,""altitude"":117.50,""hdop"":1.32,""satellites"":9,""datetime"":""2026/02/20,00:57:42"",""resultant_acc"":1.34,""resultant_gyro"":0.64,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
1,1,1771549364,1771549363,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.260667,""longitude"":-123.250326,""altitude"":99.90,""hdop"":0.85,""satellites"":12,""datetime"":""2026/02/20,01:02:43"",""resultant_acc"":1.34,""resultant_gyro"":0.92,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
2,2,1771549664,1771549662,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.260660,""longitude"":-123.250353,""altitude"":95.90,""hdop"":1.33,""satellites"":9,""datetime"":""2026/02/20,01:07:42"",""resultant_acc"":1.35,""resultant_gyro"":0.74,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
