index,latency_s,arrival_time,sent_gps_time,payload
0,3,1770790095,1770790092,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.170151,""longitude"":-123.122857,""altitude"":106.70,""hdop"":4.61,""satellites"":5,""datetime"":""2026/02/11,06:08:12"",""resultant_acc"":1.25,""resultant_gyro"":1.47,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
1,2,1770790395,1770790393,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.170041,""longitude"":-123.123091,""altitude"":87.30,""hdop"":1.24,""satellites"":6,""datetime"":""2026/02/11,06:13:13"",""resultant_acc"":1.26,""resultant_gyro"":1.52,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
2,4,1770790695,1770790691,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.169924,""longitude"":-123.123017,""altitude"":66.80,""hdop"":1.49,""satellites"":5,""datetime"":""2026/02/11,06:18:11"",""resultant_acc"":1.26,""resultant_gyro"":1.25,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
3,3,1770790995,1770790992,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.169880,""longitude"":-123.123188,""altitude"":36.40,""hdop"":1.13,""satellites"":7,""datetime"":""2026/02/11,06:23:12"",""resultant_acc"":1.26,""resultant_gyro"":1.45,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
4,4,1770791295,1770791291,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.169713,""longitude"":-123.123047,""altitude"":62.90,""hdop"":1.13,""satellites"":7,""datetime"":""2026/02/11,06:28:11"",""resultant_acc"":1.25,""resultant_gyro"":1.34,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
5,3,1770792795,1770792792,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.170233,""longitude"":-123.123096,""altitude"":75.50,""hdop"":1.48,""satellites"":7,""datetime"":""2026/02/11,06:53:12"",""resultant_acc"":1.26,""resultant_gyro"":1.00,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
6,3,1770793995,1770793992,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.170027,""longitude"":-123.123079,""altitude"":62.00,""hdop"":2.33,""satellites"":5,""datetime"":""2026/02/11,07:13:12"",""resultant_acc"":1.27,""resultant_gyro"":0.96,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
