index,latency_s,arrival_time,sent_gps_time,payload
0,2,1773983399,1773983397,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""hdop"":0.00,""satellites"":0,""datetime"":""2026/03/20,05:09:57"",""resultant_acc"":1.06,""resultant_gyro"":0.76,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":1,""noise_db"":43}"
1,2,1773983699,1773983697,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""hdop"":0.00,""satellites"":0,""datetime"":""2026/03/20,05:14:57"",""resultant_acc"":1.07,""resultant_gyro"":1.00,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":1,""noise_db"":43}"
2,2,1773983999,1773983997,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""hdop"":0.00,""satellites"":0,""datetime"":""2026/03/20,05:19:57"",""resultant_acc"":1.06,""resultant_gyro"":0.73,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":1,""noise_db"":47}"
3,3,1773984299,1773984296,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""hdop"":0.00,""satellites"":0,""datetime"":""2026/03/20,05:24:56"",""resultant_acc"":1.06,""resultant_gyro"":0.66,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":1,""noise_db"":54}"
4,2,1773984599,1773984597,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""hdop"":0.00,""satellites"":0,""datetime"":""2026/03/20,05:29:57"",""resultant_acc"":1.05,""resultant_gyro"":0.65,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":1,""noise_db"":55}"
5,3,1773984899,1773984896,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""hdop"":0.00,""satellites"":0,""datetime"":""2026/03/20,05:34:56"",""resultant_acc"":1.06,""resultant_gyro"":0.65,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":1,""noise_db"":58}"
