index,latency_s,arrival_time,sent_gps_time,payload
0,2,1774292042,1774292040,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.260501,""longitude"":-123.250555,""altitude"":0.00,""hdop"":0.00,""satellites"":0,""datetime"":""2026/03/23,18:54:00"",""resultant_acc"":1.03,""resultant_gyro"":1.09,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":1,""noise_db"":37}"
1,3,1774292072,1774292069,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.260501,""longitude"":-123.250555,""altitude"":0.00,""hdop"":0.00,""satellites"":0,""datetime"":""2026/03/23,18:54:29"",""resultant_acc"":1.02,""resultant_gyro"":0.51,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":1,""noise_db"":36}"
2,3,1774292105,1774292102,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.260501,""longitude"":-123.250555,""altitude"":0.00,""hdop"":0.00,""satellites"":0,""datetime"":""2026/03/23,18:55:02"",""resultant_acc"":1.00,""resultant_gyro"":13.25,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":0,""noise_db"":72}"
3,3,1774292135,1774292132,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.260494,""longitude"":-123.250376,""altitude"":114.80,""hdop"":1.61,""satellites"":9,""datetime"":""2026/03/23,18:55:32"",""resultant_acc"":0.97,""resultant_gyro"":7.58,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":0,""noise_db"":54}"
4,4,1774292165,1774292161,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.260451,""longitude"":-123.249834,""altitude"":93.30,""hdop"":0.93,""satellites"":10,""datetime"":""2026/03/23,18:56:01"",""resultant_acc"":0.90,""resultant_gyro"":30.95,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":0,""noise_db"":50}"
5,33,1774292225,1774292192,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.260384,""longitude"":-123.249314,""altitude"":93.50,""hdop"":1.02,""satellites"":10,""datetime"":""2026/03/23,18:56:32"",""resultant_acc"":1.26,""resultant_gyro"":24.00,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":0,""noise_db"":50}"
6,4,1774292225,1774292221,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.260206,""longitude"":-123.249151,""altitude"":94.00,""hdop"":1.01,""satellites"":8,""datetime"":""2026/03/23,18:57:01"",""resultant_acc"":1.02,""resultant_gyro"":0.86,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":0,""noise_db"":49}"
7,3,1774292255,1774292252,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.260190,""longitude"":-123.249149,""altitude"":92.20,""hdop"":1.26,""satellites"":7,""datetime"":""2026/03/23,18:57:32"",""resultant_acc"":1.02,""resultant_gyro"":0.76,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":0,""noise_db"":50}"
8,3,1774292285,1774292282,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.260188,""longitude"":-123.249155,""altitude"":96.50,""hdop"":1.23,""satellites"":9,""datetime"":""2026/03/23,18:58:02"",""resultant_acc"":1.02,""resultant_gyro"":0.72,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":0,""noise_db"":50}"
9,2,1774292315,1774292313,"{""worker_id"": 10,""modulesOnline"":[3,2],""latitude"":49.260187,""longitude"":-123.249156,""altitude"":97.30,""hdop"":1.04,""satellites"":8,""datetime"":""2026/03/23,18:58:33"",""resultant_acc"":1.02,""resultant_gyro"":0.74,""aqi_pm25_us"":0,""aqi_pm100_us"":0,""aqi_uba"":0,""noise_db"":50}"
