index,latency_s,arrival_time,sent_gps_time,payload
0,1,1774292395,1774292394,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/23,18:59:54"",""latitude"":49.260199,""longitude"":-123.249138,""altitude"":92.60,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
1,1,1774292395,1774292394,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/23,18:59:54"",""latitude"":49.260199,""longitude"":-123.249138,""altitude"":92.60,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
2,2,1774292695,1774292693,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/23,19:04:53"",""latitude"":49.260522,""longitude"":-123.250452,""altitude"":99.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
3,1,1774292696,1774292695,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/23,19:04:55"",""latitude"":49.260526,""longitude"":-123.250484,""altitude"":97.60,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
