index,latency_s,arrival_time,sent_gps_time,payload
0,1,1771731987,1771731986,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.260660,""longitude"":-123.250353,""altitude"":0.00,""hdop"":0.00,""satellites"":0,""datetime"":""2026/02/22,03:46:26"",""resultant_acc"":1.26,""resultant_gyro"":1.80,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
1,3,1771733459,1771733456,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.169652,""longitude"":-123.123515,""altitude"":38.40,""hdop"":5.32,""satellites"":4,""datetime"":""2026/02/22,04:10:56"",""resultant_acc"":1.26,""resultant_gyro"":1.79,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
2,3,1771733759,1771733756,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.169592,""longitude"":-123.123421,""altitude"":44.10,""hdop"":5.27,""satellites"":4,""datetime"":""2026/02/22,04:15:56"",""resultant_acc"":1.26,""resultant_gyro"":1.55,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
3,3,1771734059,1771734056,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.169963,""longitude"":-123.123435,""altitude"":59.90,""hdop"":5.43,""satellites"":3,""datetime"":""2026/02/22,04:20:56"",""resultant_acc"":1.26,""resultant_gyro"":1.87,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
4,2,1771734359,1771734357,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.170110,""longitude"":-123.123483,""altitude"":72.60,""hdop"":99.99,""satellites"":0,""datetime"":""2026/02/22,04:25:57"",""resultant_acc"":1.26,""resultant_gyro"":1.85,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
5,2,1771734659,1771734657,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.170110,""longitude"":-123.123483,""altitude"":72.60,""hdop"":99.99,""satellites"":0,""datetime"":""2026/02/22,04:30:57"",""resultant_acc"":1.26,""resultant_gyro"":1.78,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
6,2,1771734959,1771734957,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.170110,""longitude"":-123.123483,""altitude"":72.60,""hdop"":4.57,""satellites"":3,""datetime"":""2026/02/22,04:35:57"",""resultant_acc"":1.25,""resultant_gyro"":2.01,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
7,2,1771735259,1771735257,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.170110,""longitude"":-123.123483,""altitude"":72.60,""hdop"":5.03,""satellites"":3,""datetime"":""2026/02/22,04:40:57"",""resultant_acc"":1.25,""resultant_gyro"":1.88,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
8,2,1771735559,1771735557,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.170110,""longitude"":-123.123483,""altitude"":72.60,""hdop"":99.99,""satellites"":0,""datetime"":""2026/02/22,04:45:57"",""resultant_acc"":1.25,""resultant_gyro"":2.14,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
9,3,1771735859,1771735856,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.169953,""longitude"":-123.123385,""altitude"":77.50,""hdop"":2.85,""satellites"":4,""datetime"":""2026/02/22,04:50:56"",""resultant_acc"":1.26,""resultant_gyro"":1.91,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
10,2,1771736159,1771736157,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.169811,""longitude"":-123.122648,""altitude"":59.40,""hdop"":5.28,""satellites"":4,""datetime"":""2026/02/22,04:55:57"",""resultant_acc"":1.26,""resultant_gyro"":1.79,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
11,3,1771736459,1771736456,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.170512,""longitude"":-123.123778,""altitude"":100.00,""hdop"":8.91,""satellites"":4,""datetime"":""2026/02/22,05:00:56"",""resultant_acc"":1.25,""resultant_gyro"":1.97,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
12,3,1771736759,1771736756,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.169945,""longitude"":-123.123671,""altitude"":51.90,""hdop"":2.66,""satellites"":5,""datetime"":""2026/02/22,05:05:56"",""resultant_acc"":1.26,""resultant_gyro"":1.85,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
