system_timestamp,event_type,esp32_timestamp_ms,duration_us,success
2026-03-14T19:16:37.340449,A,752203,1581,1
2026-03-14T19:16:37.412444,A,752276,2043,1
2026-03-14T19:16:37.437704,A,752299,1601,1
2026-03-14T19:16:37.508330,A,752371,2004,1
2026-03-14T19:16:37.532932,A,752393,1508,1
2026-03-14T19:16:37.598445,A,752466,1506,1
2026-03-14T19:16:37.670474,A,752538,2042,1
2026-03-14T19:16:37.699074,A,752561,1510,1
2026-03-14T19:16:37.768892,A,752633,1996,1
2026-03-14T19:16:37.795049,A,752656,1545,1
2026-03-14T19:16:37.862927,A,752728,1935,1
2026-03-14T19:16:37.888572,A,752751,1599,1
2026-03-14T19:16:37.959907,A,752823,1976,1
2026-03-14T19:16:37.984357,A,752846,1570,1
2026-03-14T19:16:38.050546,A,752918,1514,1
2026-03-14T19:16:38.127937,A,752990,1937,1
2026-03-14T19:16:38.149792,A,753012,1497,1
2026-03-14T19:16:38.220769,A,753085,1996,1
2026-03-14T19:16:38.247389,A,753107,1455,1
2026-03-14T19:16:38.315965,A,753180,1441,1
2026-03-14T19:16:40.360260,A,755219,2103,1
2026-03-14T19:19:13.945724,H,908801,2188,1
